sno,route_id,stop_id,stop_name
6,L31,7,G.T. Rd.
7,L31,8,Netaji Subhas Avenue
8,33,1,Chetla
9,33,2,Alipur Rd.
10,33,3,Judges Court Rd.
11,33,4,Kalighat Bridge
12,33,5,Hazra Rd.
13,33,6,Bondel Rd.
14,33,7,Rifle Range Rd.
15,33,8,Dilkhusa St.
16,33,9,Darga Rd.
17,33,10,Sundari Mohan Ave.
18,33,11,Acharya J.C. Bose Rd.
19,33,12,Sealdah
20,33A,1,Paikpara
21,33A,2,Raja Manindra Rd.
22,33A,3,Belgachia Rd.
23,33A,4,R.G. Kar Rd.
24,33A,5,Shyambazar
25,33A,6,A.P.C. Rd.
26,33A,7,Sealdah
27,33A,8,A.J.C. Bose Rd.
28,33A,9,Dr.Sundari Mohan Avenue
29,34,1,Esplanade
30,34,2,Lenin Sarani
31,34,3,Nirmal Ch. St.
32,34,4,College St.
33,34,5,Old Court House St.
34,34,6,B.B.D. Bag
35,34,7,B.B. Ganguly St.
36,34,8,Shyambazar
37,34,9,B.T. Rd.
38,34,10,Tobin Rd.
39,34,11,Kashinath Dutta Rd.
40,34,12,Gopal Lal Thakur Rd.
41,34,13,Alam Bazar
42,34,14,Desh Bandhu Rd.
43,34,15,Surja Sen Rd.
44,34,16,Balur Math
45,35,1,Joramandir (Beleghata)
46,35,2,Beliaghata Main Rd.
47,35,3,Rashmoni Bazar
48,35,4,Beleghata Road
49,35A,1,Joramandir (Beleghata)
50,35A,2,Beliaghata Main Rd.
51,35A,3,Rashmoni Bazar
52,35A,4,Beleghata Rd.
53,35A,5,Sealdah Fly Over
54,35A,6,M.G. Rd.
55,35A,7,Raja Ram Mohan Roy Sarani
56,35A,8,B.B. Ganguly St.
57,35A,9,Mission Row Extn.
58,35A,10,B.B.D. Bag
59,35A,11,Koilaghat St.
60,35A,12,Strand Road
61,35B,1,Beleghata (C.I.T. Building)
62,35B,2,C.I.T. Rd.
63,35B,3,Beleghata Main Rd.
64,35B,4,Beleghata Road
65,35C,1,Salt Lake
66,35C,2,Philips Complex
67,35C,3,Mahish Bathan
68,35C,4,C.A. Island
69,35C,5,Vidyasagar
70,35C,6,Labony
71,35C,7,Purbachal
72,35C,8,Tank No.13
73,35C,9,Broadway
74,35C,10,KBKC Block
75,35C,11,C.I.T. E.M By pass crossing
76,35C,12,Joramandir
77,35C,13,Sealdah
78,35C,14,Bowbazar
79,35C,15,B.B.D. Bag
80,35C,16,Hare St.
81,35C,17,Strand Road
82,36,1,Sealdah
83,36,2,Subhas Sarovor
84,36,3,Acharya Prafulla Ch. Rd.
85,36,4,Raja Bazar
86,36,5,Gas St.
87,36,6,Narikeldanga Main Rd.
88,36,7,C.I.T. Rd.
89,36,8,Nandi House
90,36,9,Phulbagan
91,36,10,B.B.D. Bag
92,36,11,Narikeldanga Main Rd.
93,36,12,A.P.C. Rd.
94,36,13,Surya Sen St.
95,36,14,M.G. Rd.
96,36,15,Sealdah
97,36,16,Raja Rammohan Sarani
98,36,17,B.B. Ganguly St.
99,36,18,Chittaranjan Ave.
100,36,19,R.N. Mukherjee Road
101,38,1,Sealdah Stn.
102,38,2,Matpukur (Dhapa)
103,38,3,Beleghata Rd.
104,38,4,Munshi Bazar
105,38,5,Palmer Bazar
106,38,6,Radhanath Chowdhury Rd.
107,38,7,Tangra Rd.
108,38,8,Huges Road
109,38,9,Debendra De Road
110,L38A,1,Sealdah
111,L38A,2,Ghatakpukur
112,L38B,1,Salt Lake Depot
113,L38B,2,Karunamoyee
114,L38B,3,Sechbhaban
115,L38B,4,Bikash Bhaban
116,L38B,5,Purta Bhaban
117,L38B,6,CRP Camps
118,L38B,7,Tank No.14
119,L38B,8,P.N. Bank
120,L38B,9,Ultadanga
121,L38B,10,Howrah Stn.
122,L91B,1,Shyambazar (Shyam Park)
123,L91B,2,Rajarhat
124,L91B,3,Raja Dinendra St.
125,L91B,4,Aurobinda Sethu
126,L91B,5,Ultadanga
127,L91B,6,V.I.P. Rd.
128,L91B,7,Airport Gate No.1
129,L91B,8,Kaikhali
130,L91B,9,Chiriamore
131,L91B,10,Narayanpur Bortala
