sno,route_id,stop_id,stop_name
27,90L/251,28,Sagar X Road
28,90L/251,29,L.B. Nagar
29,90L/251,30,L.B. Nagar Ring Road / Uppal
30,90L/251,31,Central Bank Colony
31,90L/251,32,Kamineni
32,90L/251,33,Rajeev Gandhi Nagar
33,90L/251,34,Alkapuri / Alkapuri Colony Uppal
34,90L/251,35,Snehapuri Colony
35,90L/251,36,Mamatha Nagar Colony
36,90L/251,37,Ramoji Film City
37,90L/251,38,Saraswathi Nagar
38,90L/251,39,Uppal Pushpak
39,90L/251,40,Uppal X Road L.B. Nagar
40,90L/251,41,Uppal X Roads
41,90L/251,42,Survey of India
42,90L/251,43,National Geophysical Research Institute (NGRI)
43,90L/251,44,Habsiguda
44,90L/251,45,Tarnaka
45,90L/251,46,Tarnaka
46,90L/251,47,Tarnaka Railway Degree College
47,90L/251,48,Mettuguda
48,90L/251,49,Alugadda Bhavi Bus Stop
49,90L/251,50,Chilkalguda
50,90L/251,51,TSRTC Rathifile Bus Station
sno,route_id,stop_id,stop_name
0,188/251,1,Shamshabad Bus Station
1,188/251,2,Shamshabad Village
2,188/251,3,Satamrai
3,188/251,4,Gagan Pahad
4,188/251,5,Budvel Railway Station
5,188/251,6,AG Campus
6,188/251,7,Aramghar Cross Road
7,188/251,8,Shivarampally X Road
8,188/251,9,Weaker Section Colony / Shivarampally Quarters
9,188/251,10,Lal Dabha
10,188/251,11,Dairy Farm
11,188/251,12,Nppti
12,188/251,13,Rajendranagar HMWW-Kothi
13,188/251,14,Budvel
14,188/251,15,Rajendra Nagar Village (Opposite Agriculture University Arch)
15,188/251,16,Srinivas Colony Budvel
16,188/251,17,Kismatpur 1
17,188/251,18,Kismatpur
18,188/251,19,Kismatpur 2
19,188/251,20,Sri Sharadadhamam
20,188/251,21,Vrindavan Colony Bandlaguda
21,188/251,22,Venkateswara Colony
22,188/251,23,Bandlaguda X Road
23,188/251,24,Shanthi Nagar
24,188/251,25,Rajendra Nagar
25,188/251,26,Sai Ram Nagar
26,188/251,27,T K Bridge
27,188/251,28,Chevella Road
28,188/251,29,Langer House
29,188/251,30,Langer Houz
30,188/251,31,Flour Mill
31,188/251,32,Nanal Nagar
32,188/251,33,Rethibowli
33,188/251,34,Mehdipatnam
sno,route_id,stop_id,stop_name
0,49M/251,1,Rajiv Gandhi International Airport (RGIA)
1,49M/251,2,Shamshabad
2,49M/251,3,Shamshabad Village
